Author,Code,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,1,"As shown in the figure, AB // DE and BC // EF. If ∠B = (3x - 25)° and ∠DEF = (5x + 5)°, find the value of x. (V3 P.32-40)","As shown in the figure, L1 // L2, ∠1 =(3x - 45)°, ∠2 =(2x + 30)°, and ∠3 =(x + 15)° Find the angle of ∠2. (V3 P.33-42)","As shown in the figure line, line L is parallel to BC, ∠BAC=80°, ∠DAB=(3x - 4y)°, ∠B=(2x + y + 5)° and ∠C= (8y + 20)°. Find the angle of ∠B.   (V3 P.37-49)","Based on the figure shown, which of the following statement is correct? (V3 P.38-51)","As shown, given that AB // EF, DE⊥BC, and ∠E = 120°, find the angle of ∠B. (V3 P.32-39)","In the figure shown, L1 // L2. Find the angle of ∠BCD - ∠ABC.  (V3 P.36-48)","As shown, folding along the crease EF, point C now falls on point C' and point D on point D'. If ∠EGF = 45°, find the angle of ∠1 + ∠2.(V3 P.36-47)","As shown, L // M, ∠A = 32°, ∠B = 36°, and ∠BCF = 120°. What is the angle of ∠ADE? (V3 P. 37-50)","Q1 (4-1 Adv. 第三大題第三小題) Based on the figure, L//M, ∠2=3∠1, ∠4=3∠3, ∠B=80°, find ∠D.","Q2 (4-1 Adv. 第二大題第二小題) As shown in the figure, the continuous line part is a line symmetrical figure, B and D are the symmetry points of A and C respectively. After connecting the straight line AB and the straight line CD, we get∠1=105°, then ∠2－∠3= ____degrees. "
22,1,"In the diagram, segment MN is the midsegment of trapezoid PQRS. Find segment MN. (Source: Vol. 3, P. 96 #11)","What is the most specific name for quadrilateral ABCD? (Vol.3 P.99, #18).","As shown in the figure, in trapezoid ABCD, angle C=90°, angle D=45°, segment AB=6, and segment CD=10. What is the area of the trapezoid? (Source: Vol.3 P. 102, #24)","The midsegment of a trapezoid has a length of 28. If the length of the bottom base is equal to the length of the top base squared, find the length of the top base. (Source: Vol.3, P.103, #26)","As shown, in trapezoid ABCD, points G and H are the midpoints of line segments AB and CD, points E and F are the midpoints of line segments AG and DH, segment AD=12, and segment EF=18. Find the length of segment BC. (Source, Vol.3 p.107, #30).","As shown, in trapezoid ABCD, segment AD is parallel to segment BC, and segment AB is horizontal to segment BC, segment AD=6, segment BC=10, and segment AB=5. If line segment CE bisects the area of trapezoid ABCD, find the length of AE. (Vol. 3 P. 120, #43)","As shown, in trapezoid ABCD, segment AD is parallel to segment BC, and EF is the midsegment of the trapezoid. Given that segment AD=5 and segment BC=11, find the ratio of the area of AEFD to the area of EBCF. (Source: Vol.3 P. 121 #44)","In rectangle QRST, segment QS=7x-3 and segment RT=5x-13. Find the lengths of the diagonals to QRST. (Vol.3, P.94 #8.)","As shown in the figure, in rhombus ABCD, O is the intersection point of diagonal AC and BD, if the diagonal AC=10. Rhombus ABCD has an area of 120, find the perimeter of rhombus ABCD. (Source: WB, P.62, #3)","As shown in the figure, in trapezoid ABCD, segment AB is parallel to segment DC, segment AE and BF are both the height of the trapezoid ABCD. If segment AB=6, segment BC=17, segment CD=27, segment DA=10. Find the area of the trapezoid ABCD. (Source: WB, P. 64, #2, second question)."
23,2,1. Find the values of x and y in the diagram. (V2 P.26 - 23),"2. As shown, triangle ABC and triangle CDE are both equilateral triangles. If ∠AED = 40°, find the angle of ∠ADB. (V2 P.36 - 43)","3. As shown in the figure, point E lies on line segment BC, and the two triangles ABC and BDE are both equilateral triangles. If ∠AEB = 95°, find the angle of ∠BCD. (V2 P.42 - 49)",4. Find the values of x and y in the diagram. (V2 P.26 - 24),"5. As shown in the figure, the angle of ∠ABC is 90°, AB = 10, BC = 8. Constructing two squares ABDE and ACFG using the sides of AB and AC respectively, find the length of BG. (V2 P.38 - 45)",6. Find all values of x that make the triangles congruent. (V2 P.32 - 36),7. Find the value of x and y. (V2 P.28 - 27),"8. As shown, ∠1 = ∠2, AC = BD. Given that ∠1 = 36°, ∠ACD = 44°, find the angle of ∠CAB. (V2 P.35 - 42)","9. As shown, D, E are on AB, AC respectively, AB = AC, ∠B = ∠C. Which of the following congruent property can show that triangle ABE ≌ triangle ACD? (WB P.37 - 5 - 2)","10. True or False: In rhombus ABCD and rhombus PQRS, if AB = PQ = 3, then whether two rhombuses must be congruent? (WB P.34 - 1 - 3)",x= 3 ; y= 4,80°,25°,x= 60 ; y= 120,2√106,x= 3,x= 30 ; y= 6,64°,ASA,FALSE
24,1,"Q1 (V3 P.74-24): As shown in the figure, in parallelogram ABCD, point E lies on line segment AD, point F on segment BD, and line segment AE=BF. Given that the area of zone a is 15 and the area of zone b is 21, find the area of the zone c. ","Q2 (V3 P.75-25): As shown, in the parallelogram ABCD, ling segment BC=12, point M is the midpoint of line segment BC, and the distance of point M to line segment ling segment AD is 8. Constructing two circles with centers at point B and point C with a radius of length ling segment BM, the circles intersect line segment AB and CD at points E and F. Find the area of the shaded zone. ","Q3 (V3 P.80-30): As shown, in parallelogram ABCD, line segment AE:DE=2:3, and line segment BF:CF=1:3. Given that the area of quadrilateral ABFE is 26, find the area of the quadrilateral ABCD. ","Q4 (V3 P.76-26): As shown in the figure, in parallelogram ABCD, line segment AD=AE=8, and line segment 12. Find the length of AB. ","Q5(V3 P.77-27): As shown, in the parallelogram ABCD, line segment AF is perpendicular to line segment DF, line segment AE=4, and line segment DF=8. Find the sum of the areas of the triangle ABG and triangle DCG. ","Q6(V3 P.78-28): As shown, in parallelogram ABCD, points E and F are the midpoints of line segment BC and AD, respectively. Given that the area of the parallelogram is 40, find the area of the quadrilateral of FGEH. ","Q7(V3 P.82-31): As shown, in parallelogram ABCD and CDEF, points P and Q are the points of intersection of the diagonals. Given that he perimeter of quadrilateral CDDQ is 32, and the perimeters of triangle PAB and QEF are 27 and 14, respectively, find the length of CD.  ",Q8(V3 P.68-13(b)):The measure of one interior angle of a parallelogram is 60 degrees more than 3 times of another angle. Find the measure of the two angles. (*there are two answers for this question),"Q9 (4-2 advance WS-計算題4.): As shown, the perimeter of rectangle ABCD is 68, the sum of line segment AC and BD is 52, Find the area of rectangular ABCD. ","Q10(4-2 advanced WS-計算題): As shown, L1//L2, in the parallelogram ABCD, line segment BE=1/3BC. If the area of PEB is 10 cm^2, find the area of parallelogram ABCD. "
25,0
26,1,"As shown in the figure, line segment AD is parallel to line segment BC, BD is the angle bisector of angle ABC, and AD=DC. Find the sum of angle A and angle C. (V2-pg.58-13)","As shown in the figure, given that line segment AP is the angle bisector of angle BAC and PB=PC, if AB = 24, AC = 18, angle C = 120 degrees, find the angle of B and the length of PB. (V2-pg.59-16)","As shown in the figure, in triangle ABC, line segment AD is the angle bisector of angle BAC., and DE, DF are the heights of the triangle respectively. Given that AB = 12, AC = 16, and the area of triangle ACD is 32, find the area of triangle of ABD. (V2-pg.66-27)","As shown , in quadrilateral ABCD, line segment AC is the angle bisector of angle A, AB = 8, BC = 6, AD = 16, and angle B = 90 degrees. Find the area of the quadrilateral ABCD. (V2-pg.69-30)","As shown in the figure, in triangle ABC, AC=EB, AB=ED, BC=DB. If line segment BD bisects angle ABC and angle E = 80 degrees, find the angle of DBC. (V2 pg.60-18)","As shown in the figure, in triangle ABC, angle A = 80 degrees, angle C = 60 degrees, and the angle bisector of angle ABC intersects the perpendicular bisector of BC at point O. Find the angle of BOD. (V2-pg.62-22)","As shown in the figure, the three interior angle bisectors of triangle ABC intersect at point I. If angle BAI = 25 degrees, and angle ACI = 40 degrees, find the angle of CBI. (V2-pg.63-24)","As shown, isosceles triangle ABC has side AB = AC. Line segment BD and CD bisect angle ABC and ACE, respectively. If angle A = 60 degrees, find the angle of D. ",Which two combinations of line segments cannot form a triangle?,"As shown in the picture, L is the perpendicular bisector of BC, if AB = 8 and angle B = 60 degrees, then figure out the perimeter and the area. "
27,1,"Given that   ̅S̅T̅  ≅  ̅P̅R̅ , how does m∠PST compare to m∠SPR? (V2 p86-10) ","In triangle ABC, the exterior angle of ∠A is larger than the exterior angle of ∠C, which is larger than the exterior angle of ∠B. Which line segment is the shortest?  (V2 p93-23) ","The three heights of triangle ABC are AD, BE, and CF. If  ∠A >∠B>∠C, compare the length of the three heights. (V2 p94-25).","Isosceles triangle ABC has a perimeter of 14, and the length of its three sides are all positive integers. How many triangles are there that satisfy these conditions? (V2 p95-27)","In the triangle ABC, the exterior angle of ∠C is 118, and 39∠A = 126∠B. Compare the lengths of line segments AB, BC, and AC. (original question -> V2 p94-26)","In triangle ABC, if ∠A÷12 = ∠B÷8 = ∠C÷11, which line segment is the longest? (V2 p92-21)",Which of the following cannot form a triangle? (length of sides) (V2 p99- 32),A triangle has one side of length 5 and another side length of 11. Describe the possible lengths of the third side. (V2 p83-1),"If triangle ABC is acute, and  ∠C>∠B>∠A, which of the following must be correct? (3-4 Adv. 一、4)","In triangle ABC, ∠C>∠B>∠A, segment AB is equal to 20, and segment BC is equal to 12. If you assume that segment AC can be presented by a whole number, how many different lengths could segment AC be? (3-4 Adv. 二、4)"
28,1,Q1. Find the values of x and y. (V3 p.64-1),"Q2. As shown in the figure, ABCD is a parallelogram. If the area of triangle ADE is 30, and the area of triangle BEC is 20, what is the area of triangle AEB? (V3 p.64-17)",Q3. Find the value of each variable. (V3 p.68 - 12),"Q4. As shown, part of the extending arm of a desk lamp is a parallelogram. The angles of the parallelogram change as the lamp is raised and lowered. Find ݉∠BCD when ݉∠ADC= 110. (V3 P.64 - 2)",Q5. For what value of x is quadrilateral CDEF a parallelogram? (V3 p. 65 - 8),Q6. For what values of x and y is quadrilateral PQRS a parallelogram? (V3 p.66 - 9),"Q7. Three vertices of ▱WXYZ are W(-4,2), X(-6 ,7), Z(1, 1) . Find the coordinates of vertex Y. (V3 p.65 - 5)",Q8. Find LQ in ▱LMNQ. (V3 p.67 - 11),"Q9. In Parallelogram ABCD, angle B is 58 degrees, then how wide is angle D. (4-2 Basic 二、1)","Q10. The perimeter of Parallelogram ABCD is 36. AB is 8, then how long  is BC? (4-2 Basic一、1)"
29,1,"Q1: As shown, triangle ABC is an isosceles right triangle and line L passes through point A. Drawing the perpendiculars of point B and point C onto line L to intersect at point D and point E respectively, given that line DA=8, line AE=6, ∠DBA=53°, find the angle of ∠ACE and length of line BC.  (V2 P.35-41)","Q2: As shown in the figure, in triangle ABC, line AB= line AC, line PB= line CQ, line BQ=line CR. If ∠A=56°, find the angle of ∠RPQ. (V2 p.37-44)","Q3: As shown in the figure, equilateral triangle ABC has a side of 14. Given that line AE=line BF=line CD and that the area of triangle ABE is 14√3, find the area of triangle DEF if D,E,F are the midpoints of line AE, line BF, and line CD, respectively. (V2 p39-46)","Q4: As shown in the figure, square ABCD is placed on a Cartesian plane. Given that point A lies on (0,5) and point B on (2,0), find the coordinates of point C. (V2 P43-50)","Q1: As shown in the figure, ABCD is a square. Point E lies on line segment AB, point F lies on ray BC. Given that line AE=line CF and line DE=12, find the length of EF. (V2 P34-39)","Q2: As shown in the figure, the angle of ∠ABC is 90°, line AB=12, line BC=5. Constructing two squares ABCD and ACFG using the sides of AB and AC respectively, find the length of BG. (V2 P38-45)","Q3: As shown in the figure, squares ABCD and EFGH have sides with a length of 18. Given that point E lies in the center of square ABCD and that line segment BP has a length of 6, find the area of the quadrilateral EPCQ. (V2 P41-48)","Q4: As shown in the figure, line AB=14, line BC= line AE=42, line BF=56, line CE= line CF=49, and the area of triangle CDF is 490. Find the area of quadrilateral ABDE. (V2 P44-51)","Q1: As shown in the figure, ABC is a triangle. Constructing two equilateral triangle ABD and ACE, using the sides of line AB and line AC, respectively. Line CD and line BE cross at point F, find the angle of CFE. (3-2 advanced worksheet 計算題 Q4)","Q2:As shown in the figure, square ABCD has a side of 12, even that ∠1=∠2, and that line DE=10, find the area of triangle AEF. (3-2 advanced worksheet 填充題 Q6)"
30,1,"In the diagram, segment MN is the midsegment of trapezoid PQRS. Find segment MN.  (V3 P. 96 - 11)","The stone above the arch in the diagram is an isosceles trapezoid. Find ݉m∠K, m∠M, and m∠J (V3 P. 95 - 9)","As shown, in trapezoid ABCD, segment AD parallel to segment BC, and EF is the midsegement of the trapezoid. Given that segment AD = 4 and segment BC = 10, find the ratio of the area of AEFD to the area of EBCF. (V3 P. 121 - 44)","As shown in the figure, in trapezoid ABCD, segment AD parallel to segment BC, F is the midpoint of DC, and the extension of lineAF intersects the extension of line BC at point E. Given that segment AD = 5, segment BC = 10, and the area of triangleADF is 7.5, find the area of trapezoid ABCD. (V3 P. 110 - 33)",Find the value of X (V3 P. 97 - 13a),Find the value of X (V3 P. 97 - 13b),"As shown in the figure, in trapezoid ABCD, ∠C = 90°, ∠D = 45°, segment AB = 23, and segment CD = 31. What is the area of the trapezoid? (V3 P. 102 - 24)","As shown, the midsegment of the isosceles trapezoid ABCD has a length of 14.5, line segment BC is 9 units longer than line segment AD, and the area of the trapezoid is 174. Find the perimeter of the trapezoid. (V3 P. 104 - 27)","As shown at the bottom, in the trapezoidal ABCD, AD // BC and AD = BE, DE is the angular bisector of ∠ADC, ∠C=58°, ∠A=_______ degrees. (4-3 Common 二、1)","As shown at the bottom, in the isosceles trapezoid ABCD, AD // BC, AD = 2,BC=6, BD=5, then the area of the trapezoidal ABCD is ________. (4-3 Common 二、4)"
31,0
32,1,"Q1: As shown in the figure, ray BD bisects angle ∠ABC, AD = CD, and the length of AB is shorter than that of BC. If ∠BCD is 45°, CD = 8, and the area of the quadrilateral ABCD is 80, find the area of the triangle ABD. (V2. P. 63 - 23)","Q2: As shown, in rectangle ABCD, AB = 6 and BC = 10. Constructing the perpendicular bisector of diagonal AC to intersect AD and BC at points P and Q respectively, find the length of PD. (V2. P. 70 - 31)","Q3: As shown, in triangle ABC, the exterior angle bisector of ∠A intersects the extension of line segment BC at point E. Further extending line segment AB to point F, the angle bisector of ∠FBC intersects the extension of line segment AC at point D. If AE = AB = BD, find the angle of ∠ABC. (V2. P. 75 - 36)","Q4: As shown in the figure, in the right triangle ABC, ∠A = 90°, AB = 8, AC = 6, and DB = DC. Constructing the angle bisector of ∠BDC so that it intersects line segment BC at point E, find the length of BE and BD.(V2. P. 67 - 28)","Q5: As shown in the figure, the three interior angle bisectors of triangle ABC intersect at point I. If ∠BAI = 15° and ∠AIC = 135°, find the angle of ∠ABC. (V2. P.63-24)","Q6: As shown, line segments BE and BG trisect ∠ABC, and line segments CE and CF trisect ∠ACD. Given that ∠BAC = 72°, find the angle of ∠BEC. (V2. P68-29)","Q7: As shown in quadrilateral ABCD, line segment AC is the angle bisector of ∠A, AB = 15, BC = 8, AD = 30, and ∠B = 90°. Find the area of quadrilateral ABCD. (V2. P69-30)","Q8: As shown, isosceles triangle ABC has side AB = AC. Line segment BD and line segment CD bisect angle ∠ABC = ∠ACE, respectively. If ∠A = 60°, find the angle of ∠D. (V2. P58-14)","Q9. As shown in the picture of △ABC below, ∠C=90°, AC =4, BC =3. The triangle is folded with AO as the crease so that, like shown in the second picture, C is on C'. What is the length of CO? (3-3 Advanced 三、1)","Q10: In △ABC below, AD bisects ∠BAC. DE is perpendicular to AB at point E, and DF is perpendicular to AC at point F. If AB =6, AC =4, DE =3, what is the area of △ABC? (3-3(2) Common 三、1)"
33,1,"Q1 (V3 p42-56) As shown in the figure, AB// EF, ∠1=120°, ∠2=63°, and ∠3=95°. What is the angle of ∠CDE?","Q2 (V3 p43-57) In the figure shown, L//M and ABCDE is a regular pentagon. If ∠CDG=20°, find the angle of ∠FAB.","Q3  (V3 p50-64) In the figure shown, L1//L2, ∠1=130°,∠3=30°, and line segment BD bisects the angle ∠CBE. Find the angle of ∠2. ","Q4 (V3 p39-53) As shown in the figure, L1//L2, ∠1=∠2, ∠3=∠4, and ∠6=96°. Find the angle of ∠5. ","Q1(V3)In the figure shown, AC//DF. If AC= 2, DF= 10. and the area of triangle DEF is 40, find the area of triangle ABC","Q2 As shown in the figure, AB// DE and BC// EF. If ∠B=(3x-45) ° and ∠E= (2x+30)° , find the value of x","In the diagram below, p || q and q || r. Find ∠m8. ","In the figure shown, L1//L2. Find the angle of ∠BCD-∠ABC","Q1 (4-1基礎第三大題第三題)As the picture shown, ABECDF is a symmetric figure and L axis separately connect AD and BC. Given ∠1 = 125°, find ∠2","Q2 (4-1進階第三大題第二題)As the picture shown, given that AB//EF, if  ∠BAC=50°,  ∠ACD=70°,  ∠CDE=(x+5)°,  ∠DEF=(2x+6)°, find the value of x"
